x,y,theta,vy,theta_dot,input,cost,x,.y
178.903,247.562,0.786702,0.23965,-2.77893,0.145714,23.1963,178.465,242.804
147.709,331.571,0.620849,0.032051,-0.759656,0.0485714,215.661,140.414,326.238
57.3202,-133.204,3.76217,-0.0370123,0.664168,0.0485714,7.12442,63.7024,-125.916
272.869,-152.944,4.63348,-0.00892693,-0.410377,-0.097143,291.669,276.659,-144.462
50.4635,-140.052,3.76768,0.0351949,0.00990344,0.0485714,276.456,57.3202,-133.204
-257.816,66.0468,4.66032,-0.0450538,0.911686,-0.0485716,42.1407,-257.325,74.7855
-271.351,76.1342,3.27552,-0.0774111,0.193605,-0.145714,167.311,-264.089,73.2826
-259.376,58.517,4.1858,0.113019,-0.803101,0.0971429,368.554,-257.816,66.0468
82.0845,-158.19,3.91088,0.290888,-2.80676,0.291429,265.206,80.2352,-155.318
207.016,30.6976,6.07968,0.113007,-3.9244,0.0971429,36.1586,202.653,30.8048
-265.519,52.1836,4.20359,-0.0360976,0.212753,-0.097143,303.669,-259.376,58.517
58.8924,338.207,2.42464,-0.028718,0.13814,-0.0485716,203.386,65.3339,331.041
118.306,-61.3222,2.75837,0.197732,-2.18999,0.194286,70.4574,123.366,-59.2066
269.321,-162.24,4.44069,-0.00109104,-0.418585,0,151.119,272.869,-152.944
41.144,-143.137,3.50117,0.0409779,-0.364528,0,197.335,50.4635,-140.052
59.641,-136.188,5.87478,-0.24436,3.64899,-0.097143,5.28311,57.3202,-133.204
301.533,273.678,0.165567,0.218205,-1.90831,0.242857,214.687,299.397,269.002
-265.507,42.6335,4.61925,-0.0471132,0.653179,0,178.185,-265.519,52.1836
32.5094,-146.98,3.65608,-0.0373689,0.322845,-0.0485716,201.666,41.144,-143.137
23.8748,-150.531,3.44661,0.0425389,-0.413662,0.0485714,44.8607,32.5094,-146.98
155.929,328.787,6.1674,0.0548496,-1.2951,0,13.9386,147.709,331.571
279.459,-149.498,5.99747,-0.189045,1.93958,-0.194286,196.175,276.659,-144.462
21.8088,-155.216,4.94489,-0.218004,2.63723,-0.145714,61.6727,23.8748,-150.531
-150.988,156.212,2.0072,0.0549139,-0.523915,0.145714,179.895,-145.152,151.25
154.174,-59.953,4.94626,0.131302,-0.59148,0.194286,22.0365,148.436,-56.3054
159.924,330.749,1.40344,-0.272515,2.56454,-0.194286,172.902,155.929,328.787
-266.03,135.26,2.37161,-0.0361321,0.297921,-0.0485716,186.926,-259.91,128.02
101.336,136.411,2.31071,-0.19207,2.28775,-0.291429,67.1129,100.098,132.11
-258.941,37.2705,5.40149,-0.0700549,1.323,0,28.7904,-265.507,42.6335
-271.613,142.672,2.13665,0.0445527,-0.458107,0.0485714,58.8196,-266.03,135.26
194.134,190.748,3.74172,0.101757,-1.70497,0.194286,1.40884,196.295,196.695
-276.342,151.032,2.20417,-0.0310586,0.167411,-0.0485716,61.5972,-271.613,142.672
270.009,-170.862,4.88709,-0.0853601,0.705428,-0.0485716,129.545,269.321,-162.24
